ChemicalID,DiseaseID,label
C041041,MESH:D013651,0
D008775,MESH:D009205,1
C095512,MESH:D000795,0
D015784,MESH:D006973,1
C026164,MESH:D014437,0
D003847,MESH:D012798,0
C466795,MESH:D012877,0
D008619,MESH:D008844,0
C071160,MESH:D045743,0
D011374,MESH:D005348,1
C000726939,MESH:D009374,1
D002998,MESH:D004828,1
C076525,MESH:D010998,0
D017984,MESH:D018450,1
D008148,MESH:D012400,0
D013467,MESH:D011087,0
D012172,MESH:D014623,0
D004061,MESH:D011470,0
C009954,MESH:D058565,0
C062940,MESH:D016920,1
D000077237,MESH:D015179,1
C038044,MESH:D006509,1
D011718,MESH:D050177,0
C079198,MESH:D005770,1
D004573,MESH:D014402,0
C487952,MESH:D006344,0
C108242,MESH:D000084202,0
C081654,MESH:D007174,0
C009764,MESH:D018487,0
C031367,MESH:D049950,0
D016589,MESH:D014581,1
D005437,MESH:D014552,1
D017291,MESH:D001281,1
D009254,MESH:D000137,0
C039418,MESH:D001008,0
C528564,MESH:D020078,1
D013759,MESH:D012640,1
C542859,MESH:D018856,0
C057912,MESH:D000077195,1
D005905,MESH:D003920,1
C058317,MESH:D008113,1
D007530,MESH:D018781,0
D012837,MESH:D014947,1
D012643,MESH:D007674,1
C042577,MESH:D046152,0
D002083,MESH:D006331,1
D019259,MESH:D015658,1
C047115,MESH:D001424,1
D017762,MESH:D000077260,0
C111855,MESH:D003093,1
C012465,MESH:D003329,0
D054735,MESH:D008088,0
C104810,MESH:D013276,0
D005047,MESH:C537844,1
D017576,MESH:C564945,0
D000069464,MESH:D018318,0
D019304,MESH:D013319,0
C000713167,MESH:D013924,0
D019833,MESH:D001172,1
D003907,MESH:D006973,1
C050414,MESH:D000072717,0
C558737,MESH:D004681,1
C522803,MESH:D003110,0
D000069465,MESH:D007939,0
D049971,MESH:D018500,1
C000614591,MESH:D008268,0
D012838,MESH:D010302,1
C017367,MESH:C537296,1
D004298,MESH:D018476,1
D010293,MESH:D001919,1
D015282,MESH:D003027,1
C004999,MESH:D012640,1
C013150,MESH:D066126,1
C025741,MESH:D015452,0
D014282,MESH:D001480,1
C007836,MESH:D019954,1
D007052,MESH:D018805,1
D004134,MESH:D015452,0
D003520,MESH:D055953,1
C051122,MESH:D004760,0
D017984,MESH:D004617,1
D000077211,MESH:D008654,1
C024307,MESH:D012878,0
D000077208,MESH:D019547,1
C008577,MESH:D009224,0
C024523,MESH:D006940,0
C488405,MESH:D048629,1
D024502,MESH:D003072,1
D013307,MESH:D014390,1
D007505,MESH:D018197,0
C090092,MESH:D000795,1
D008825,MESH:D001759,1
C000597426,MESH:D002537,0
C039775,MESH:D004761,0
C005975,MESH:D008107,1
D003907,MESH:D049188,1
D015086,MESH:D009374,1
D015662,MESH:D016920,1
C012716,MESH:D008382,0
C007975,MESH:D007905,0
D002192,MESH:D013119,0
C111217,MESH:D008551,0
C027125,MESH:D012221,0
C511312,MESH:D055370,1
C024989,MESH:D018487,1
D013881,MESH:D007676,0
D003078,MESH:D005902,1
D017964,MESH:D019462,0
D001566,MESH:D007571,0
D008911,MESH:D017486,1
C100059,MESH:D003711,0
C116306,MESH:D016584,0
D000639,MESH:D002658,0
C000722512,MESH:D012128,0
C479580,MESH:D000755,0
D006062,MESH:D002057,0
C534147,MESH:D018754,0
C117343,MESH:D006949,1
D008277,MESH:D015837,0
C107601,MESH:D005831,0
C087705,MESH:D013274,1
C097008,MESH:D006978,0
C074469,MESH:D009837,0
C451734,MESH:D006323,0
D013828,MESH:D006527,0
C045855,MESH:D008206,0
D009768,MESH:D001919,1
D043343,MESH:D003456,1
C508710,MESH:D015674,0
C047115,MESH:D009374,1
C031477,MESH:D018149,1
C485383,MESH:D010300,1
C035884,MESH:D001039,0
D013411,MESH:D002825,1
D002981,MESH:D018410,1
D000077157,MESH:D015179,1
C000625506,MESH:D000077195,1
C059303,MESH:D057215,0
C068538,MESH:D017088,1
C572045,MESH:D000690,0
C561593,MESH:D014648,0
C115711,MESH:D015470,1
D058786,MESH:D006946,0
D008550,MESH:D049188,1
C086184,MESH:D050197,1
